method,view,is_boundary,failure_category,node_count,mean_node_f1,mean_degree_error,mean_direction_error
GeoAnnulus-Final,annulus,False,low_order_or_secondary,19,1.0,0.0,3.7083656146234087
GeoAnnulus-Final,annulus,False,mixed_lost_and_new,617,0.5353117304089751,1.325769854132901,25.476066736022677
GeoAnnulus-Final,annulus,False,over_connected,1057,0.7965434334403114,2.0737937559129613,14.320808130052502
GeoAnnulus-Final,annulus,False,under_connected,6,0.7507936507936508,1.8333333333333333,43.45283488298215
GeoAnnulus-Final,annulus,True,direction_only,3,1.0,0.0,41.904819954754416
GeoAnnulus-Final,annulus,True,low_order_or_secondary,42,1.0,0.0,8.356462724591207
GeoAnnulus-Final,annulus,True,mixed_lost_and_new,156,0.5161384911384912,1.2692307692307692,37.944330371548325
GeoAnnulus-Final,annulus,True,over_connected,657,0.7683030139248243,1.6240487062404871,23.654806671815603
GeoAnnulus-Final,annulus,True,under_connected,8,0.768312937062937,2.25,28.139864296189682
GeoDisk-Final,disk,False,direction_only,3,1.0,0.0,31.447208490337946
GeoDisk-Final,disk,False,low_order_or_secondary,27,1.0,0.0,5.414334276194713
GeoDisk-Final,disk,False,mixed_lost_and_new,232,0.5845942611028817,1.6163793103448276,31.23235270781714
GeoDisk-Final,disk,False,over_connected,1434,0.7983559676028296,2.0529986052998606,11.922624559927923
GeoDisk-Final,disk,False,under_connected,3,0.8571428571428571,1.0,42.01956263053008
GeoDisk-Final,disk,True,direction_only,8,1.0,0.0,59.17072516098488
GeoDisk-Final,disk,True,low_order_or_secondary,37,1.0,0.0,9.508195226252449
GeoDisk-Final,disk,True,mixed_lost_and_new,85,0.4655869620575503,1.6470588235294117,44.83919001457256
GeoDisk-Final,disk,True,over_connected,730,0.7595391290596769,1.6986301369863013,22.979865630008263
GeoDisk-Final,disk,True,under_connected,6,0.7986693861693862,2.0,22.441692432630592
